,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
158,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)","DJ Khaled",15958,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817
159,"Burn Out (feat. Dewain Whitmore)","Martin Garrix",15858,https://open.spotify.com/track/7IWTIkiWGWNQyYfOLdMrGD
160,Pamit,Tulus,15851,https://open.spotify.com/track/3B4VP6swG49n3scg2aMfA6
161,"Thinking Out Loud","Ed Sheeran",15812,https://open.spotify.com/track/1Slwb6dOYkBlWal1PGtnNg
162,"Aku Bertahan","Rio Febrian",15779,https://open.spotify.com/track/0uG4W1mvsLHMrjOaxbrEqo
163,"Lagi Syantik","Siti Badriah",15754,https://open.spotify.com/track/2whJ6VW0y0EGhp1XYElDCp
164,"Ya Jamalu","Sabyan Gambus",15697,https://open.spotify.com/track/6UTS0DlKJA1Zab7iAksG7D
165,"Anugerah Terindah Yang Pernah Kumiliki","Sheila On 7",15534,https://open.spotify.com/track/41OCQS2Mul3MluLUUsfadr
166,"Sweet Talk","Sheryl Sheinafia",15499,https://open.spotify.com/track/5KTWREZTovnyIsWx09bxps
167,"Sesuatu Di Jogja","Adhitia Sofyan",15356,https://open.spotify.com/track/0MAIxtXWimwhAAQOST9jp7
168,"I'm Fine",BTS,15353,https://open.spotify.com/track/0EQMrxdeiBhry9JCxskko3
169,"The Man Who Can't Be Moved","The Script",15325,https://open.spotify.com/track/67EY6aDoIx8czEPS6a2AaI
170,Pulang,Float,15279,https://open.spotify.com/track/5Ge3e6dV4wsae8lDQQq8PY
171,"Versace On The Floor","Bruno Mars",15171,https://open.spotify.com/track/0kN8xEmgMW9mh7UmDYHlJP
172,Mine,Bazzi,15159,https://open.spotify.com/track/7uzmGiiJyRfuViKKK3lVmR
173,"Yang Patah Tumbuh, Yang Hilang Berganti","Banda Neira",15113,https://open.spotify.com/track/6Rd4ep779v8CjlFVhaHrNX
174,"PLAYING WITH FIRE - KR Ver.",BLACKPINK,15045,https://open.spotify.com/track/5OepnJhqZoyJN8qWo2LZzy
175,"Ruang Rindu",Letto,15040,https://open.spotify.com/track/7GIPybgkHmY4ZY56YLpTJi
176,"Back to You (feat. Bebe Rexha & Digital Farm Animals)","Louis Tomlinson",14954,https://open.spotify.com/track/7F9vK8hNFMml4GtHsaXui6
177,"I Will Fly","Ten 2 Five",14915,https://open.spotify.com/track/0IpMEZdKu7FB5KOpNEg8x3
178,"You Are The Reason - Duet Version","Calum Scott",14849,https://open.spotify.com/track/2RKbu8lkD0IifqLRfpEQUR
179,"Thru These Tears",LANY,14802,https://open.spotify.com/track/4gB61mP4tNChn4LgfquMhi
180,"Cinta Begini",Tangga,14712,https://open.spotify.com/track/4387TltnnL2gMSYdr4UPhG
181,"Pilu Membiru","Kunto Aji",14613,https://open.spotify.com/track/48FTlRoE6Dft6EXIpQgPZb
182,Entertainer,ZAYN,14572,https://open.spotify.com/track/5LTGmestwpHZ1BfCmpFQJx
